Microsoft (R) COFF/PE Dumper Version 14.43.34808.0
Copyright (C) Microsoft Corporation.  All rights reserved.

File Type: DLL

  Section contains the following exports for ntdll.dll

    00000000 characteristics
    B7F0154A time date stamp
        0.00 version
           8 ordinal base
        2485 number of functions
        2484 number of names

    ordinal hint RVA      name

        265  100 0009F400 NtClearEvent
        266  101 0009EE20 NtClose
        267  102 0009F3A0 NtCloseObjectAuditAlarm
        268  103 0009FF30 NtCommitComplete
        269  104 0009FF50 NtCommitEnlistment
        270  105 0009FF70 NtCommitRegistryTransaction
        271  106 0009FF90 NtCommitTransaction
        272  107 0009FFB0 NtCompactKeys
        273  108 0009FFD0 NtCompareObjects
        274  109 0009FFF0 NtCompareSigningLevels
        275  10A 000A0010 NtCompareTokens
        276  10B 000A0030 NtCompleteConnectPort
        277  10C 000A0050 NtCompressKey
        278  10D 000A0070 NtConnectPort
        279  10E 0009F4A0 NtContinue
        280  10F 000A0090 NtContinueEx
        281  110 000A00B0 NtConvertBetweenAuxiliaryCounterAndPerformanceCounter
        282  111 000A00D0 NtCopyFileChunk
        283  112 000A00F0 NtCreateCpuPartition
        284  113 000A0110 NtCreateCrossVmEvent
        285  114 000A0130 NtCreateCrossVmMutant
        286  115 000A0150 NtCreateDebugObject
        287  116 000A0170 NtCreateDirectoryObject
        288  117 000A0190 NtCreateDirectoryObjectEx
        289  118 000A01B0 NtCreateEnclave
        290  119 000A01D0 NtCreateEnlistment
        291  11A 0009F540 NtCreateEvent
        292  11B 000A01F0 NtCreateEventPair
        293  11C 0009F6E0 NtCreateFile
        294  11D 000A0210 NtCreateIRTimer
        295  11E 000A0230 NtCreateIoCompletion
        296  11F 000A0250 NtCreateIoRing
        297  120 000A0270 NtCreateJobObject
        298  121 000A0290 NtCreateJobSet
        299  122 0009EFE0 NtCreateKey
        300  123 000A02B0 NtCreateKeyTransacted
        301  124 000A02D0 NtCreateKeyedEvent
        302  125 000A02F0 NtCreateLowBoxToken
        303  126 000A0310 NtCreateMailslotFile
        304  127 000A0330 NtCreateMutant
        305  128 000A0350 NtCreateNamedPipeFile
        306  129 000A0370 NtCreatePagingFile
