Microsoft (R) COFF/PE Dumper Version 14.43.34808.0
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file E:\KsaLib\0\dll_xp_win7_win11\ntdll_export\ntdll_86.dll

File Type: DLL

  Section contains the following exports for ntdll.dll

    00000000 characteristics
    2451EFDD time date stamp
        0.00 version
           8 ordinal base
        2482 number of functions
        2482 number of names

    ordinal hint RVA      name

        344  149 00076E50 NtDebugActiveProcess
        345  14A 00076E60 NtDebugContinue
        346  14B 00076450 NtDelayExecution
        347  14C 00076E70 NtDeleteAtom
        348  14D 00076E80 NtDeleteBootEntry
        349  14E 00076E90 NtDeleteDriverEntry
        350  14F 00076EA0 NtDeleteFile
        351  150 00076EB0 NtDeleteKey
        352  151 00076EC0 NtDeleteObjectAuditAlarm
        353  152 00076ED0 NtDeletePrivateNamespace
        354  153 00076EE0 NtDeleteValueKey
        355  154 00076EF0 NtDeleteWnfStateData
        356  155 00076F00 NtDeleteWnfStateName
        357  156 00076160 NtDeviceIoControlFile
        358  157 00076F10 NtDirectGraphicsCall
        359  158 00076F20 NtDisableLastKnownGood
        360  159 00076F30 NtDisplayString
        361  15A 00076F40 NtDrawText
        362  15B 000764D0 NtDuplicateObject
        363  15C 00076530 NtDuplicateToken
        364  15D 00076F50 NtEnableLastKnownGood
        365  15E 00076F60 NtEnumerateBootEntries
        366  15F 00076F70 NtEnumerateDriverEntries
        367  160 00076430 NtEnumerateKey
        368  161 00076F80 NtEnumerateSystemEnvironmentValuesEx
        369  162 00076F90 NtEnumerateTransactionObject
        370  163 00076220 NtEnumerateValueKey
        371  164 00076FA0 NtExtendSection
        372  165 00076FB0 NtFilterBootOption
        373  166 00076FC0 NtFilterToken
        374  167 00076FD0 NtFilterTokenEx
        375  168 00076230 NtFindAtom
        376  169 000765C0 NtFlushBuffersFile
        377  16A 00076FE0 NtFlushBuffersFileEx
        378  16B 00076FF0 NtFlushInstallUILanguage
        379  16C 00077000 NtFlushInstructionCache
        380  16D 00077010 NtFlushKey
        381  16E 00077020 NtFlushProcessWriteBuffers
        382  16F 00077030 NtFlushVirtualMemory
        383  170 00077040 NtFlushWriteBuffer
        384  171 00077050 NtFreeUserPhysicalPages
        385  172 000762F0 NtFreeVirtualMemory
        386  173 00077060 NtFreezeRegistry
        387  174 00077070 NtFreezeTransactions
        388  175 000764A0 NtFsControlFile
        389  176 00077080 NtGetCachedSigningLevel
        390  177 00077090 NtGetCompleteWnfStateSubscription
        391  178 000770A0 NtGetContextThread
        392  179 000770B0 NtGetCurrentProcessorNumber
        393  17A 000770C0 NtGetCurrentProcessorNumberEx
        394  17B 000770D0 NtGetDevicePowerState
        395  17C 000770E0 NtGetMUIRegistryInfo
        396  17D 000770F0 NtGetNextProcess
        397  17E 00077100 NtGetNextThread
        398  17F 00077110 NtGetNlsSectionPtr
        399  180 00077120 NtGetNotificationResourceManager
        400  181 000C9FE0 NtGetTickCount
        401  182 00077130 NtGetWriteWatch
        402  183 00077140 NtImpersonateAnonymousToken
        403  184 00076300 NtImpersonateClientOfPort
        404  185 00077150 NtImpersonateThread
        405  186 00077160 NtInitializeEnclave
        406  187 00077170 NtInitializeNlsFiles
        407  188 00077180 NtInitializeRegistry
        408  189 00077190 NtInitiatePowerAction
        409  18A 00076600 NtIsProcessInJob
        410  18B 000771A0 NtIsSystemResumeAutomatic
        411  18C 000771B0 NtIsUILanguageComitted
        412  18D 000771C0 NtListenPort
        413  18E 000771D0 NtLoadDriver
        414  18F 000771E0 NtLoadEnclaveData
        417  190 000771F0 NtLoadKey
        415  191 00077200 NtLoadKey2
        416  192 00077210 NtLoadKey3
        418  193 00077220 NtLoadKeyEx
        419  194 00077230 NtLockFile
        420  195 00077240 NtLockProductActivationKeys
        421  196 00077250 NtLockRegistryKey
        422  197 00077260 NtLockVirtualMemory
        423  198 00077270 NtMakePermanentObject
        424  199 00077280 NtMakeTemporaryObject
        425  19A 00077290 NtManageHotPatch
        426  19B 000772A0 NtManagePartition
        427  19C 000772B0 NtMapCMFModule
        428  19D 000772C0 NtMapUserPhysicalPages
        429  19E 00076120 NtMapUserPhysicalPagesScatter
        430  19F 00076390 NtMapViewOfSection
        431  1A0 000772D0 NtMapViewOfSectionEx
        432  1A1 000772E0 NtModifyBootEntry
        433  1A2 000772F0 NtModifyDriverEntry
        434  1A3 00077300 NtNotifyChangeDirectoryFile
        435  1A4 00077310 NtNotifyChangeDirectoryFileEx
        436  1A5 00077320 NtNotifyChangeKey
        437  1A6 00077330 NtNotifyChangeMultipleKeys
        438  1A7 00077340 NtNotifyChangeSession
        439  1A8 00077350 NtOpenCpuPartition
        440  1A9 00076690 NtOpenDirectoryObject
        441  1AA 00077360 NtOpenEnlistment
        442  1AB 00076510 NtOpenEvent
        443  1AC 00077370 NtOpenEventPair
        444  1AD 00076440 NtOpenFile
        445  1AE 00077380 NtOpenIoCompletion
        446  1AF 00077390 NtOpenJobObject
        447  1B0 00076210 NtOpenKey
        448  1B1 000773A0 NtOpenKeyEx
        449  1B2 000773B0 NtOpenKeyTransacted
        450  1B3 000773C0 NtOpenKeyTransactedEx
        451  1B4 000773D0 NtOpenKeyedEvent
        452  1B5 000773E0 NtOpenMutant
        453  1B6 000773F0 NtOpenObjectAuditAlarm
        454  1B7 00077400 NtOpenPartition
        455  1B8 00077410 NtOpenPrivateNamespace
        456  1B9 00076370 NtOpenProcess
        457  1BA 00077420 NtOpenProcessToken
        458  1BB 00076410 NtOpenProcessTokenEx
        459  1BC 00077430 NtOpenRegistryTransaction
        460  1BD 00077440 NtOpenResourceManager
        461  1BE 00076480 NtOpenSection
        462  1BF 00077450 NtOpenSemaphore
        463  1C0 00077460 NtOpenSession
        464  1C1 00077470 NtOpenSymbolicLinkObject
        465  1C2 00077480 NtOpenThread
        466  1C3 00076350 NtOpenThreadToken
        467  1C4 00076400 NtOpenThreadTokenEx
        468  1C5 00077490 NtOpenTimer
        469  1C6 000774A0 NtOpenTransaction
        470  1C7 000774B0 NtOpenTransactionManager
        471  1C8 000774C0 NtPlugPlayControl
        472  1C9 00076700 NtPowerInformation
        473  1CA 000774D0 NtPrePrepareComplete
        474  1CB 000774E0 NtPrePrepareEnlistment
        475  1CC 000774F0 NtPrepareComplete
        476  1CD 00077500 NtPrepareEnlistment
        477  1CE 00077510 NtPrivilegeCheck
        478  1CF 00077520 NtPrivilegeObjectAuditAlarm
        479  1D0 00077530 NtPrivilegedServiceAuditAlarm
        480  1D1 00077540 NtPropagationComplete
        481  1D2 00077550 NtPropagationFailed
        482  1D3 00076610 NtProtectVirtualMemory
        483  1D4 00077560 NtPssCaptureVaSpaceBulk
        484  1D5 00077570 NtPulseEvent
        485  1D6 000764E0 NtQueryAttributesFile
        486  1D7 00077580 NtQueryAuxiliaryCounterFrequency
        487  1D8 00077590 NtQueryBootEntryOrder
        488  1D9 000775A0 NtQueryBootOptions
        489  1DA 000775B0 NtQueryDebugFilterState
        490  1DB 00076240 NtQueryDefaultLocale
        491  1DC 00076550 NtQueryDefaultUILanguage
