Microsoft (R) COFF/PE Dumper Version 14.43.34808.0
Copyright (C) Microsoft Corporation.  All rights reserved.

File Type: DLL

  Section contains the following exports for ntdll.dll

    00000000 characteristics
    5C6E13DD time date stamp Thu Feb 21 10:58:37 2019
        0.00 version
           1 ordinal base
        408  18F 0006AA10 NtQueryInformationJobObject
        409  190 0006AA20 NtQueryInformationPort
        410  191 00069A10 NtQueryInformationProcess
        411  192 0006AA30 NtQueryInformationResourceManager
        412  193 00069AD0 NtQueryInformationThread
        413  194 00069A90 NtQueryInformationToken
        414  195 0006AA40 NtQueryInformationTransaction
        415  196 0006AA50 NtQueryInformationTransactionManager
        416  197 0006AA60 NtQueryInformationWorkerFactory
        417  198 0006AA70 NtQueryInstallUILanguage
        418  199 0006AA80 NtQueryIntervalProfile
        419  19A 0006AA90 NtQueryIoCompletion
        420  19B 000699E0 NtQueryKey
        421  19C 0006AAA0 NtQueryLicenseValue
        422  19D 0006AAB0 NtQueryMultipleValueKey
        423  19E 0006AAC0 NtQueryMutant
        424  19F 00069980 NtQueryObject
        425  1A0 0006AAD0 NtQueryOpenSubKeys
        426  1A1 0006AAE0 NtQueryOpenSubKeysEx
        427  1A2 00069B90 NtQueryPerformanceCounter
        428  1A3 0006AAF0 NtQueryPortInformationProcess
        429  1A4 0006AB00 NtQueryQuotaInformationFile
        430  1A5 00069D90 NtQuerySection
        431  1A6 0006AB10 NtQuerySecurityAttributesToken
        432  1A7 0006AB20 NtQuerySecurityObject
        433  1A8 0006AB30 NtQuerySemaphore
        434  1A9 0006AB40 NtQuerySymbolicLinkObject
        435  1AA 0006AB50 NtQuerySystemEnvironmentValue
        436  1AB 0006AB60 NtQuerySystemEnvironmentValueEx
        437  1AC 00069BE0 NtQuerySystemInformation
        438  1AD 0006AB70 NtQuerySystemInformationEx
        439  1AE 00069E20 NtQuerySystemTime
        440  1AF 00069C00 NtQueryTimer
        441  1B0 0006AB80 NtQueryTimerResolution
        442  1B1 000699F0 NtQueryValueKey
        443  1B2 00069AB0 NtQueryVirtualMemory
        444  1B3 00069D10 NtQueryVolumeInformationFile
        445  1B4 00069CD0 NtQueueApcThread
        446  1B5 0006AB90 NtQueueApcThreadEx
        447  1B6 0006ABA0 NtRaiseException
        448  1B7 0006ABB0 NtRaiseHardError
        449  1B8 000698E0 NtReadFile
        450  1B9 00069B60 NtReadFileScatter
        451  1BA 0006ABC0 NtReadOnlyEnlistment
        452  1BB 00069DC0 NtReadRequestData
        453  1BC 00069C70 NtReadVirtualMemory
        454  1BD 0006ABD0 NtRecoverEnlistment
        455  1BE 0006ABE0 NtRecoverResourceManager
        456  1BF 0006ABF0 NtRecoverTransactionManager
        457  1C0 0006AC00 NtRegisterProtocolAddressInformation
        458  1C1 0006AC10 NtRegisterThreadTerminatePort
        459  1C2 0006AC20 NtReleaseKeyedEvent
        460  1C3 00069A80 NtReleaseMutant
        461  1C4 00069920 NtReleaseSemaphore
        462  1C5 0006AC30 NtReleaseWorkerFactoryWorker
        463  1C6 00069910 NtRemoveIoCompletion
        464  1C7 0006AC40 NtRemoveIoCompletionEx
        465  1C8 0006AC50 NtRemoveProcessDebug
        466  1C9 0006AC60 NtRenameKey
        467  1CA 0006AC70 NtRenameTransactionManager
        468  1CB 0006AC80 NtReplaceKey
        469  1CC 0006AC90 NtReplacePartitionUnit
        470  1CD 00069940 NtReplyPort
        471  1CE 00069930 NtReplyWaitReceivePort
        472  1CF 00069B30 NtReplyWaitReceivePortEx
        473  1D0 0006ACA0 NtReplyWaitReplyPort
        474  1D1 0006ACB0 NtRequestPort
        475  1D2 00069AA0 NtRequestWaitReplyPort
        476  1D3 0006ACC0 NtResetEvent
        477  1D4 0006ACD0 NtResetWriteWatch
        478  1D5 0006ACE0 NtRestoreKey
        479  1D6 0006ACF0 NtResumeProcess
        480  1D7 00069DA0 NtResumeThread
        481  1D8 0006AD00 NtRollbackComplete
        482  1D9 0006AD10 NtRollbackEnlistment
        483  1DA 0006AD20 NtRollbackTransaction
        484  1DB 0006AD30 NtRollforwardTransactionManager
        485  1DC 0006AD40 NtSaveKey
        486  1DD 0006AD50 NtSaveKeyEx
        487  1DE 0006AD60 NtSaveMergedKeys
        488  1DF 0006AD70 NtSecureConnectPort
        489  1E0 0006AD80 NtSerializeBoot
        490  1E1 0006AD90 NtSetBootEntryOrder
        491  1E2 0006ADA0 NtSetBootOptions
        492  1E3 0006ADB0 NtSetContextThread
        493  1E4 0006ADC0 NtSetDebugFilterState
        494  1E5 0006ADD0 NtSetDefaultHardErrorPort
        495  1E6 0006ADE0 NtSetDefaultLocale
        496  1E7 0006ADF0 NtSetDefaultUILanguage
        497  1E8 0006AE00 NtSetDriverEntryOrder
        498  1E9 0006AE10 NtSetEaFile
        499  1EA 00069960 NtSetEvent
        500  1EB 00069B50 NtSetEventBoostPriority
        501  1EC 0006AE20 NtSetHighEventPair
        502  1ED 0006AE30 NtSetHighWaitLowEventPair
        503  1EE 0006AE40 NtSetInformationDebugObject
        504  1EF 0006AE50 NtSetInformationEnlistment
        505  1F0 00069AF0 NtSetInformationFile
        506  1F1 0006AE60 NtSetInformationJobObject
        507  1F2 0006AE70 NtSetInformationKey
        508  1F3 00069E40 NtSetInformationObject
        509  1F4 00069A40 NtSetInformationProcess
        510  1F5 0006AE80 NtSetInformationResourceManager
        511  1F6 00069950 NtSetInformationThread
        512  1F7 0006AE90 NtSetInformationToken
        513  1F8 0006AEA0 NtSetInformationTransaction
        514  1F9 0006AEB0 NtSetInformationTransactionManager
        515  1FA 0006AEC0 NtSetInformationWorkerFactory
        516  1FB 0006AED0 NtSetIntervalProfile
        517  1FC 0006AEE0 NtSetIoCompletion
        518  1FD 0006AEF0 NtSetIoCompletionEx
        519  1FE 0006AF00 NtSetLdtEntries
        520  1FF 0006AF10 NtSetLowEventPair
        521  200 0006AF20 NtSetLowWaitHighEventPair
        522  201 0006AF30 NtSetQuotaInformationFile
        523  202 0006AF40 NtSetSecurityObject
        524  203 0006AF50 NtSetSystemEnvironmentValue
        525  204 0006AF60 NtSetSystemEnvironmentValueEx
        526  205 0006AF70 NtSetSystemInformation
        527  206 0006AF80 NtSetSystemPowerState
        528  207 0006AF90 NtSetSystemTime
        529  208 0006AFA0 NtSetThreadExecutionState
        530  209 00069EA0 NtSetTimer
        531  20A 0006AFB0 NtSetTimerEx
        532  20B 0006AFC0 NtSetTimerResolution
        533  20C 0006AFD0 NtSetUuidSeed
        534  20D 00069E80 NtSetValueKey
        535  20E 0006AFE0 NtSetVolumeInformationFile
        536  20F 0006AFF0 NtShutdownSystem
        537  210 0006B000 NtShutdownWorkerFactory
        538  211 0006B010 NtSignalAndWaitForSingleObject
        539  212 0006B020 NtSinglePhaseReject
        540  213 0006B030 NtStartProfile
        541  214 0006B040 NtStopProfile
        542  215 0006B050 NtSuspendProcess
        543  216 0006B060 NtSuspendThread
        544  217 0006B070 NtSystemDebugControl
        545  218 0006B080 NtTerminateJobObject
        546  219 00069B40 NtTerminateProcess
        547  21A 00069DB0 NtTerminateThread
        548  21B 0006B090 NtTestAlert
        549  21C 0006B0A0 NtThawRegistry
        550  21D 0006B0B0 NtThawTransactions
        551  21E 0006B0C0 NtTraceControl
        552  21F 00069E60 NtTraceEvent
        553  220 0006B0D0 NtTranslateFilePath
        554  221 0006B0E0 NtUmsThreadYield
        555  222 0006B0F0 NtUnloadDriver
        556  223 0006B100 NtUnloadKey
        557  224 0006B110 NtUnloadKey2
        558  225 0006B120 NtUnloadKeyEx
        559  226 0006B130 NtUnlockFile
        560  227 0006B140 NtUnlockVirtualMemory
        561  228 00069B20 NtUnmapViewOfSection
        562  229 0006B150 NtVdmControl
        563  22A 0006B160 NtWaitForDebugEvent
        564  22B 0006B170 NtWaitForKeyedEvent
        565  22C 00069E30 NtWaitForMultipleObjects
        566  22D 00069A20 NtWaitForMultipleObjects32
        567  22E 000698C0 NtWaitForSingleObject
