Microsoft (R) COFF/PE Dumper Version 14.43.34808.0
Copyright (C) Microsoft Corporation.  All rights reserved.

File Type: DLL

  Section contains the following exports for ntdll.dll

    00000000 characteristics
    5C6E1C38 time date stamp Thu Feb 21 11:34:16 2019
        0.00 version
           1 ordinal base
        303  120 0001FA88 NtFindAtom
        304  121 0001FFEC NtFlushBuffersFile
        305  122 00020B7C NtFlushInstallUILanguage
        306  123 00020B94 NtFlushInstructionCache
        307  124 00020BB0 NtFlushKey
        308  125 00020BCC NtFlushProcessWriteBuffers
        309  126 00020BE4 NtFlushVirtualMemory
        310  127 00020BFC NtFlushWriteBuffer
        311  128 00020C18 NtFreeUserPhysicalPages
        312  129 0001FB88 NtFreeVirtualMemory
        313  12A 00020C30 NtFreezeRegistry
        314  12B 00020C48 NtFreezeTransactions
        315  12C 0001FE28 NtFsControlFile
        316  12D 00020C60 NtGetContextThread
        317  12E 00020C78 NtGetCurrentProcessorNumber
        318  12F 00020C94 NtGetDevicePowerState
        319  130 00020CB0 NtGetMUIRegistryInfo
        320  131 00020CC8 NtGetNextProcess
        321  132 00020CE0 NtGetNextThread
        322  133 00020CF8 NtGetNlsSectionPtr
        323  134 00020D10 NtGetNotificationResourceManager
        324  135 00020D28 NtGetPlugPlayEvent
        325  136 000B14C8 NtGetTickCount
        326  137 00020D40 NtGetWriteWatch
        327  138 00020D58 NtImpersonateAnonymousToken
        328  139 0001FBA0 NtImpersonateClientOfPort
        329  13A 00020D74 NtImpersonateThread
        330  13B 00020D8C NtInitializeNlsFiles
        331  13C 00020DA4 NtInitializeRegistry
        332  13D 00020DBC NtInitiatePowerAction
        333  13E 0002004C NtIsProcessInJob
        334  13F 00020DD8 NtIsSystemResumeAutomatic
        335  140 00020DF4 NtIsUILanguageComitted
        336  141 00020E0C NtListenPort
        337  142 00020E24 NtLoadDriver
        339  143 00020E3C NtLoadKey
        338  144 00020E54 NtLoadKey2
        340  145 00020E6C NtLoadKeyEx
        341  146 00020E84 NtLockFile
        342  147 00020E9C NtLockProductActivationKeys
        343  148 00020EB8 NtLockRegistryKey
        344  149 00020ED4 NtLockVirtualMemory
        345  14A 00020EEC NtMakePermanentObject
        346  14B 00020F08 NtMakeTemporaryObject
        347  14C 00020F24 NtMapCMFModule
